id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37622,"When presented with a 3D orthogonal coordinate system drawn on a 2D surface, students may interpret the oblique axis as a negative direction on a standard 2D Cartesian plane.","Looking at a 3D sketch, Vera interpreted the third axis drawn diagonally down-and-left as indicating a negative value, stating 'it means that this one is negative. He should have drawn it this way'.",geometric,graphing,3D coordinate systems,student,seventh-grade,JRME_Yerushalmy_1997_Designing,Michal Yerushalmy,1997,Journal for Research in Mathematics Education,uncoded,secondary,,pdfs/JRME/JRME_Yerushalmy_1997_Designing.pdf
37651,"In identifying the basic repeating unit of a semiregular tessellation, students may incorrectly select a single regular polygon instead of the necessary combination of shapes that tile the plane.","For a tessellation made of hexagons and triangles, a student circled a single hexagon as the basic repeating tile.",geometric,tessellations,repeating tiles,student,fifth-grade,JRME_Civil_2002_Chapter,Marta Civil,2002,Journal for Research in Mathematics Education. Monograph,uncoded,secondary,54,pdfs/JRME/JRME_Civil_2002_Chapter.pdf
37724,"Teachers accept empirical evidence, such as testing a few specific cases or using a visual demonstration, as a mathematically valid formal proof.","Five teachers rated an empirically based argument, which tore up the angles of a triangle to form a straight line, as a valid proof.",geometric,proof and justification,empirical evidence,in_service,secondary school (Grades 9-12),JRME_Knuth_2002_Secondary,Eric J. Knuth,2002,Journal for Research in Mathematics Education,uncoded,primary,"391, 392",pdfs/JRME/JRME_Knuth_2002_Secondary.pdf
37730,"When finding the equation of a circle passing through three given points, a student inappropriately sets up an analytic system using only two of the points, resulting in an unresolvable equation in two variables.",Setting up (7 - h)^2 + (0 - k)^2 = r^2 and (5 - h)^2 + (4 - k)^2 = r^2 and solving to get 2k = h - 2.,geometric,analytic geometry,circle through points,student,secondary school,JRME_Borasi_1994_Capitalizing,Raffaella Borasi,1994,Journal for Research in Mathematics Education,productive,primary,"178, 179",pdfs/JRME/JRME_Borasi_1994_Capitalizing.pdf
37750,"The prospective teacher lacks conceptual knowledge of geometric formulas, such as the derivation of pi, and instead relies on rote memory aids and arbitrary rules to teach students.",Think about it. Area has an r sound in it. A-r-e-a and radius.,geometric,area and circumference of circles,pi,PST,grades K-8,JRME_Eisenhart_1993_Conceptual,"Margaret Eisenhart, Hilda Borko, Robert Underhill, Catherine Brown, Doug Jones and Patricia Agard",1993,Journal for Research in Mathematics Education,uncoded,primary,18,pdfs/JRME/JRME_Eisenhart_1993_Conceptual.pdf
37755,"Students draw a figure but fail to recognize its necessary properties, such as assuming a right triangle does not have to have a longest side or a largest angle.","Even though they drew a right triangle, 12 students did not think that such a triangle had to have a longest side and 7 students did not think it required a largest angle.",geometric,right triangles,properties,PST,undergraduate,JRME_Mayberry_1983_Van,Joanne Mayberry,1983,Journal for Research in Mathematics Education,uncoded,primary,65,pdfs/JRME/JRME_Mayberry_1983_Van.pdf
37757,Students answer generalized class inclusion and relationship questions by drawing specific figures and deriving answers from the visual appearance of their own drawings.,"Given that triangles ABC and DEF were similar or congruent, students drew specific figures and answered whether certain angles or sides were equal depending on their own diagram.",geometric,similarity and congruence,class inclusions,PST,undergraduate,JRME_Mayberry_1983_Van,Joanne Mayberry,1983,Journal for Research in Mathematics Education,uncoded,primary,65,pdfs/JRME/JRME_Mayberry_1983_Van.pdf
37875,"Pupils hold the conception that the sum of the angles of a triangle depends on its shape and size, specifically believing that larger triangles have a larger sum of angles.","When asked to predict the sum of the angles of three contrasting triangles, pupils made predictions ranging from 160 degrees to 770 degrees.",geometric,triangles,sum of interior angles,student,7th-grade,JRME_Balacheff_1990_Towards,Nicolas Balacheff,1990,Journal for Research in Mathematics Education,uncoded,primary,"265, 266, 268, 269",pdfs/JRME/JRME_Balacheff_1990_Towards.pdf
37889,Students attempt to prove the general triangle inequality conjecture by inappropriately citing the Pythagorean theorem formula and using static rather than transformational reasoning.,A participant stated that Mary's conjecture is true 'because if you look at the formula a squared plus b squared equals c squared' and formed a nondynamic triangle with her hands.,geometric,triangle inequality conjecture,transformational proofs,student,undergraduate,JRME_WilliamsPierce_2017_What,"Caroline (Caro) Williams-Pierce, Elizabeth L. Pier, Candace Walkington, Rebecca Boncoddo, Virginia Clinton, Martha W. Alibali and Mitchell J. Nathan",2017,Journal for Research in Mathematics Education,uncoded,primary,"253, 254, 255",pdfs/JRME/JRME_WilliamsPierce_2017_What.pdf
37955,"When equipartitioning a single whole, students fail to apply necessary criteria such as creating equal-sized pieces, obtaining the correct number of shares, and exhausting the whole.","Students drew 6 parallel lines on a rectangle to share for 6 people, resulting in 7 parts, or removed equal-sized pieces without using the entire whole because 'at home four children would never be allowed to eat an entire cake'.",geometric,equipartitioning single wholes,Equipartitioning criteria,student,2nd through 4th graders,ZDM_Confrey_2015_Design,"Jere Confrey, Alan Maloney",2015,ZDM Mathematics Education,mixed,primary,"925, 926",pdfs/ZDM/ZDM_Confrey_2015_Design.pdf
