id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37483,"Students assume the operator in a multiplication problem must be a whole number, leading to errors when the operator is a decimal because it violates the tacit repeated addition model.","When given the problem '1 m of suit fabric costs 15 000 lire. How much does 0.75 m cost?', students frequently incorrectly chose 15 000 ÷ 0.75 or 15 000 + 0.75 instead of 15 000 x 0.75.",decimal,multiplication,decimal operators,student,"Grades 5, 7, and 9",JRME_Fischbein_1985_Role,"Efraim Fischbein, Maria Deri, Maria Sainati Nello and Maria Sciolis Marino",1985,Journal for Research in Mathematics Education,uncoded,primary,"6, 10, 11, 14",pdfs/JRME/JRME_Fischbein_1985_Role.pdf
37499,"Students believe there is a finite number of decimals between two given decimal numbers, often counting sequentially by the last digit or asserting no numbers exist between them.","When asked how many decimals are between 1.42 and 1.43, a student responded, 'There are nine; 1.421, 1.422 ... and 1.429.' Another stated, 'The number following 1.42 is 1.43. Therefore, there are no decimal numbers between 1.42 and 1.43.'",decimal,density,number magnitude,student,sixth- and eighth-grade,JRME_Reys_1998_Relationship,Robert E. Reys and Der-Ching Yang,1998,Journal for Research in Mathematics Education,uncoded,primary,232,pdfs/JRME/JRME_Reys_1998_Relationship.pdf
37503,Students blindly apply rule-based algorithms to place decimal points in products without using estimation or number sense to check for reasonableness.,"When given that the digits 291357 represent the product of 534.6 and 0.545, 87% of sixth graders answered 29.1357 instead of estimating that half of 534 is around 250.",decimal,multiplication,decimal placement,student,sixth- and eighth-grade,JRME_Reys_1998_Relationship,Robert E. Reys and Der-Ching Yang,1998,Journal for Research in Mathematics Education,uncoded,secondary,231,pdfs/JRME/JRME_Reys_1998_Relationship.pdf
37556,"Preservice teachers explicitly believe that in a division problem the quotient must always be less than the dividend, an overgeneralization rooted in the primitive partitive model of whole numbers.","When asked to evaluate the statement '10 ÷ .65 is greater than 10' without computing, subjects incorrectly claimed the quotient must be less than 10 because 'division always makes smaller.'",decimal,division,quotient size,PST,sophomores or juniors,JRME_Tirosh_1990_Evoking,Dina Tirosh and Anna O. Graeber,1990,Journal for Research in Mathematics Education,uncoded,primary,"98, 99, 100, 102, 104",pdfs/JRME/JRME_Tirosh_1990_Evoking.pdf
37596,"Students confuse the length of a decimal fraction with its value, believing that longer decimal fractions are either necessarily larger or necessarily smaller.","A student might believe that .355 is more than .5 because 355 is more than 5, or conversely, that 0.1 is larger than 1.5.",decimal,magnitude,comparing and ordering,student,Year 7 and 8 (ages 11 and 12),JRME_Irwin_2001_Using,Kathryn C. Irwin,2001,Journal for Research in Mathematics Education,uncoded,primary,"401, 402, 405, 406",pdfs/JRME/JRME_Irwin_2001_Using.pdf
37598,"Students incorrectly assume a mirrored symmetry in place value column names around the decimal point, inventing a column for 'oneths' immediately to the right of the point.","When discussing place value, a student refers to the columns after the decimal point as 'oneths, tenths, hundredths' or explicitly states 'That's tenths, not oneths.'",decimal,place value,column names,student,Year 7 and 8 (ages 11 and 12),JRME_Irwin_2001_Using,Kathryn C. Irwin,2001,Journal for Research in Mathematics Education,uncoded,secondary,"402, 411, 412",pdfs/JRME/JRME_Irwin_2001_Using.pdf
37600,Students incorrectly believe that the infinite repeating decimal 0.999... is strictly less than one rather than equal to one.,"When asked to vote whether 0.999... is less than one or equal to one, the majority of students voted that the fraction is less than one.",decimal,infinite decimals,equivalence,student,undergraduate,JRME_Toom_1993_Russian,Andrei Toom,1993,,uncoded,primary,133,pdfs/JRME/JRME_Toom_1993_Russian.pdf
37616,"Students compare decimals by assuming that longer decimals represent smaller parts (like thousandths vs. hundredths) but fail to coordinate this with the number of parts, thus concluding that a decimal with more places is always smaller.","A student might judge 1.35 as smaller than 1.2 because 1.35 has more decimal places, reasoning that hundredths are smaller than tenths.",decimal,decimal comparison,fraction rule,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,productive,primary,"9, 13, 21, 25",pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
37618,"When translating ordinary fractions to decimal notation, students encode only the numerator into the decimal and completely ignore the denominator.","A student translates 3/4 as .3 or .003, and 3/100 as .3.",decimal,fraction-to-decimal translation,numerator encoding,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,uncoded,secondary,23,pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
37620,Students perform a syntactic translation by keeping both the numerator and the denominator and placing a decimal point somewhere between them.,A student translates 3/4 as 3.4 or .34.,decimal,fraction-to-decimal translation,syntactic translation,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,uncoded,secondary,23,pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
