id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37528,"Students attempt to estimate the area of an irregular shape by counting the number of units around the boundary of the shape, confusing area with perimeter.","When estimating the area of an island on a grid, a student explicitly stated they obtained their estimate by counting the number of squares around the island.",measurement,area,area vs perimeter,student,sixth-grade,JRME_Cai_1995_Cognitive,Jinfa Cai,1995,Journal for Research in Mathematics Education. Monograph,uncoded,secondary,71,pdfs/JRME/JRME_Cai_1995_Cognitive.pdf
37565,"Students inappropriately define area strictly as the 'inside' and perimeter as the 'outside' of an object, leading to confusion when applying these concepts to surfaces like walls.","When asked if area or perimeter is needed to determine the amount of paint or wallpaper for a room, students stated perimeter because 'Walls don't have area because they go around.'",measurement,area and perimeter,definitions and applications,student,fifth-grade,JRME_Pesek_2000_Interference,Dolores D. Pesek and David Kirshner,2000,Journal for Research in Mathematics Education,uncoded,primary,"535, 538",pdfs/JRME/JRME_Pesek_2000_Interference.pdf
37567,"Students attempt to calculate area and perimeter by haphazardly guessing operations (adding or multiplying) to apply to the given numbers, rather than grounding their calculations in the spatial properties of the figure.","For the area of a 2-by-2 shape, a student recommended '2 times 2' but justified it incorrectly by saying 'Because there's four sides.' Another student described perimeter calculation as 'sometimes they will multiply it... or they will add it and then they will add the two and then they will multiply the other ones with it.'",measurement,area and perimeter,calculation strategies,student,fifth-grade,JRME_Pesek_2000_Interference,Dolores D. Pesek and David Kirshner,2000,Journal for Research in Mathematics Education,uncoded,primary,536,pdfs/JRME/JRME_Pesek_2000_Interference.pdf
37627,"When asked to cover a rectangular area with smaller rectangular units, the student focuses inappropriately on linear perimeter measurements and outlines, failing to correctly model 2D spatial area.","To cover a 30x40 rectangle with 2x2 squares, the student incorrectly added 30 and 40 to get 70, then divided by 2 to get 35. When drawing, the student mapped the outline of the shape first and then placed a 'cross' in the middle.",measurement,area,covering with units,student,fifth-grade,JRME_Lo_1997_Developing,Jane-Jane Lo and Tad Watanabe,1997,Journal for Research in Mathematics Education,uncoded,secondary,"231, 232",pdfs/JRME/JRME_Lo_1997_Developing.pdf
37712,"Students treat the hour and minute hands as independent, incorrectly believing the hour hand points exactly at the hour numeral until the minute hand reaches the half-hour mark, at which point it jumps to the midpoint.","To show 8:30 as the result of an elapsed time task, a student accurately moved the minute hand to the 6 but placed the hour hand directly on the 8.",measurement,elapsed time,hour-minute proportional relations,student,Grades 2 and 4,JRME_Earnest_2017_Clock,Darrell Earnest,2017,Journal for Research in Mathematics Education,uncoded,primary,"207, 208, 209, 210, 216",pdfs/JRME/JRME_Earnest_2017_Clock.pdf
37716,Students misinterpret units of scale on a graph or geometric figure.,,measurement,graphs and figures,scale,student,sixth-grade,JRME_Marshall_1983_Sex,Sandra P. Marshall,1983,Journal for Research in Mathematics Education,uncoded,primary,332,pdfs/JRME/JRME_Marshall_1983_Sex.pdf
37782,"Students blindly perform straightforward arithmetic operations with the numbers given in word problems, suspending real-world knowledge and failing to consider realistic constraints.","For a problem asking how many 1 m planks can be sawed from four 2.5 m planks, a student simply calculates 4 x 2.5 and answers '10 planks', ignoring that a 0.5 m piece remains from each individual plank.",measurement,word problems,realistic mathematical modeling,student,fifth- and sixth-grade,JRME_Verschaffel_1997_Teaching,Lieven Verschaffel and Erik De Corte,1997,Journal for Research in Mathematics Education,uncoded,primary,"578, 579, 581, 586",pdfs/JRME/JRME_Verschaffel_1997_Teaching.pdf
37824,"Students experience difficulty with the concepts of scale and linear measurement on maps, compounded by an unfamiliar English idiom.","Students' measurements of distance varied because cities were marked with dots inside small circles, and they did not understand what 'as the crow flies' meant.",measurement,scale and distance,map representations,mixed,elementary/middle school,JRME_Gutstein_1997_Culturally,"Eric Gutstein, Pauline Lipman, Patricia Hernandez, Rebeca de los Reyes",1997,Journal for Research in Mathematics Education,uncoded,passing,723,pdfs/JRME/JRME_Gutstein_1997_Culturally.pdf
37844,"Students believe there is only one correct, school-taught method to solve a problem and rigidly refuse to use informal knowledge or common sense when the formal algorithm fails.","When asked to convert 3 feet 6 inches to feet, the student becomes flustered using a formal proportion algorithm and refuses to use her informal knowledge that 6 inches is half a foot.",measurement,unit conversion,beliefs about mathematics,mixed,"preschool, primary, junior high",JRME_Baroody_1990_Chapter,Arthur J. Baroody and Herbert P. Ginsburg,1990,Journal for Research in Mathematics Education. Monograph,uncoded,primary,63,pdfs/JRME/JRME_Baroody_1990_Chapter.pdf
38035,"Students struggle to abstract and identify length units consistently across different representations, relying on counting visually perceptible units rather than utilizing numerical labels and intervals.","When given a ruler with a portion of the numbers and tick marks obscured by a ribbon, some students struggled to deduce the length because they could not directly count the visually perceptible units.",measurement,length,Unit iteration and rulers,student,grades 2 through 5,ZDM_Barrett_2011_Children's,"Jeffrey E. Barrett, Craig Cullen, Julie Sarama, Douglas H. Clements, David Klanderman, Amanda L. Miller, Chepina Rumsey",2011,ZDM Mathematics Education,uncoded,primary,641,pdfs/ZDM/ZDM_Barrett_2011_Children's.pdf
