id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37440,"A student inverted the part-whole relationship when attempting to construct an improper fraction, creating a proper fraction instead.","When asked to make a stick that is fourteen-eighths of an 8/8-stick, the student partitioned a stick into fourteen parts and selected eight, resulting in eight-fourteenths.",fraction,representation,improper fractions,student,"third, fourth, and fifth grades",JMB_Steffe_2002_New,Leslie P. Steffe,2002,Journal of Mathematical Behavior,productive,primary,299-300,pdfs/JMB/JMB_Steffe_2002_New.pdf
37447,"The student conflated the number of parts needed for an improper fraction with the whole unit, failing to coordinate the three levels of units necessary to form the improper fraction in relation to the unit bar.","When asked to make a 3/3-bar into a 9/8-bar, Bridget suggested making eight more 24-part bars 'so you'd have nine-eighths,' treating nine-eighths as a unit of nine units without forming eight of those units as equal to the unit bar.",fraction,representation,improper fractions,student,sixth-grade,JMB_Hackenberg_2007_Units,Amy J. Hackenberg,2007,Journal of Mathematical Behavior,productive,primary,37-38,pdfs/JMB/JMB_Hackenberg_2007_Units.pdf
37457,The student struggles to name the length of a newly created fractional collection relative to the original referent unit.,"After making a collection of 35 mini-parts, Michael calls the length 'thirty-five sevenths' and then 'thirty-five thirty fifths' before correctly deducing it is 11 and 2/3 unit bars.",fraction,fraction length and measurement,improper fractions,student,6th-grade,JRME_Hackenberg_2010_Mathematical,Amy J. Hackenberg,2010,Journal for Research in Mathematics Education,productive,secondary,"251, 252",pdfs/JRME/JRME_Hackenberg_2010_Mathematical.pdf
37478,"Students do not attach the proper reference unit to their fractional results, confusing a fraction of the total combined amount with a fraction of a single constituent unit.","After sharing four pizzas among three people, a student stated each person would receive 1 1/3 of the total amount of pizza, instead of recognizing that they receive 1 1/3 pizzas, which is 1/3 of the total original amount.",fraction,referent wholes,coordinating fractional amounts,student,grades four through eight,JRME_Lamon_1996_Development,Susan J. Lamon,1996,Journal for Research in Mathematics Education,uncoded,secondary,190,pdfs/JRME/JRME_Lamon_1996_Development.pdf
37508,"Prospective teachers possess a narrow understanding of division restricted to the partitive model, which hinders their ability to conceptualize division by a fraction.",Participants struggled to relate 1 3/4 ÷ 1/2 to a concrete situation because they only thought of division as forming a certain number of equal parts.,fraction,division,models of division,PST,prospective elementary and secondary teachers,JRME_Ball_1990_Prospective,Deborah Loewenberg Ball,1990,Journal for Research in Mathematics Education,uncoded,primary,140,pdfs/JRME/JRME_Ball_1990_Prospective.pdf
37516,"Students judge the reasonableness of a fraction sum by mechanically checking if the resulting denominator is a multiple of the addends' denominators, rather than assessing the magnitude of the fractions.","When deciding if 5/8 + 4/7 = 8/15 is reasonable, a student rejected it because '15 is not a multiple of 8 and 7', completely ignoring that both fractions are around a half and the sum must be greater than one.",fraction,addition,reasonableness of results,student,fifth- and eighth-grade,JRME_Reys_1991_Computational,"Robert E. Reys, Barbara J. Reys, Nobuhiko Nohda, Junichi Ishida, Shigeo Yoshikawa and Katsuhiko Shimizu",1991,Journal for Research in Mathematics Education,uncoded,primary,"53, 54",pdfs/JRME/JRME_Reys_1991_Computational.pdf
37524,"Because of a rigid reliance on always making a median cut first, children conclude that partitioning a shape into an odd number of equal parts is impossible.","When asked to make an odd number of parts like three or five, a child responds, 'I can't get it because it's not even' or 'It can't be done.'",fraction,partitioning,odd number of parts,student,kindergarten and the first three grades,JRME_Pothier_1983_Partitioning,Yvonne Pothier and Daiyo Sawada,1983,Journal for Research in Mathematics Education,uncoded,primary,"314, 315",pdfs/JRME/JRME_Pothier_1983_Partitioning.pdf
37570,"Students incorrectly use the entire visible number line segment, rather than the intended segment from 0 to 1, as the reference unit.","When working with a number line labeled from 0 to 2, students' incorrect responses were consistent with incorrectly using the interval from 0 to 2 as the single unit.",fraction,number line representation,unit identification,student,fourth and fifth graders,JRME_Bright_1988_Identifying,"George W. Bright, Merlyn J. Behr, Thomas R. Post and Ipke Wachsmuth",1988,Journal for Research in Mathematics Education,uncoded,primary,"221, 225",pdfs/JRME/JRME_Bright_1988_Identifying.pdf
37584,"The student interprets a fractional representation based on the part composed of fewer pieces, focusing on the nonshaded or missing pieces if they comprise the smaller part.","When shown an area model representing 5/6 (with 5 shaded pieces and 1 nonshaded piece), the student interpreted the fraction as 1/6 because 'There's like, all, except one shaded.'",fraction,fractional representations,interpreting area models,student,adult,JRME_Lewis_2014_Difference,Katherine E. Lewis,2014,Journal for Research in Mathematics Education,uncoded,primary,"366, 371, 372, 373",pdfs/JRME/JRME_Lewis_2014_Difference.pdf
37639,"Students fixate on using learned standard algorithms, such as finding exact common denominators, rather than employing flexible estimation strategies, often leading to frustration and errors.","Students attempted to mentally calculate common denominators for fractions, apologizing for the imprecision of their estimates and stating they could do better with a calculator or paper.",fraction,computational estimation,common denominators,student,undergraduate students,JRME_Hanson_2000_Computational,Sheri A. Hanson and Thomas P. Hogan,2000,Journal for Research in Mathematics Education,uncoded,primary,"493, 494",pdfs/JRME/JRME_Hanson_2000_Computational.pdf
37663,Students who have not yet constructed a splitting operation may incorrectly iterate the given whole rather than producing a piece that could be iterated to reproduce the given whole.,"When told an unpartitioned stick was 3 times as long as another stick and asked to draw the other stick, a student drew a new stick that was three iterations of the original stick.",fraction,splitting operation,partitioning and iterating,student,5th- and 6th-grade,JRME_Norton_2018_Brief,"Anderson Norton, Jesse L. M. Wilkins, and Cong ze Xu",2018,Journal for Research in Mathematics Education,uncoded,secondary,"217, 218",pdfs/JRME/JRME_Norton_2018_Brief.pdf
37676,Students view the individual pieces resulting from partitioning as independent whole-number counting units rather than as fractional portions of a referent whole.,"To find 1/4 of 1/2 of a cookie, a student splits the half into 4 parts, and reasons 'if this [one half] is four [pieces], this whole thing is eight [pieces], and I gave her one part out of eight,' treating the pieces as counting units.",fraction,multiplication,interpretation of parts,student,fifth-grade,JRME_Mack_2001_Building,Nancy K. Mack,2001,Journal for Research in Mathematics Education,uncoded,primary,"276, 278, 280",pdfs/JRME/JRME_Mack_2001_Building.pdf
37693,"Students apply an incorrect algorithm to add fractions, typically by adding the numerators together and the denominators together.",Ted mentally computed the sum of 5/6 and 4/7 as 'nine thirteenths' by adding the top numbers and bottom numbers.,fraction,fraction addition,algorithms,student,fourth and fifth grade,JRME_Behr_1985_Construct,"Merlyn J. Behr, Ipke Wachsmuth and Thomas R. Post",1985,Journal for Research in Mathematics Education,uncoded,primary,"125, 128",pdfs/JRME/JRME_Behr_1985_Construct.pdf
