id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37490,A student claims that the number six can be both even and odd because it is composed of an odd number of groups of two.,"Sean asserts that six is odd and even because it is made of three twos, and three is an odd number.",whole_number,parity,multiples and composition,student,third grade,JRME_Ball_2008_Making,"Deborah Loewenberg Ball, Jennifer Lewis and Mark Hoover Thames",2008,Journal for Research in Mathematics Education. Monograph,productive,primary,"13, 14, 25, 29, 39, 41, 199, 200",pdfs/JRME/JRME_Ball_2008_Making.pdf
37498,"Students view vertical column computation as a separate mathematical context unrelated to horizontal formatting, exhibiting format dependency and failing to apply algorithms flexibly.",Students reliably use standard regrouping algorithms for tasks in a vertical column format but fail to apply them to identical tasks presented as horizontal sentences.,whole_number,computation,addition and subtraction,mixed,second-grade,JRME_Cobb_1991_Assessment,"Paul Cobb, Terry Wood, Erna Yackel, John Nicholls, Grayson Wheatley, Beatriz Trigatti and Marcella Perlwitz",1991,Journal for Research in Mathematics Education,uncoded,primary,22,pdfs/JRME/JRME_Cobb_1991_Assessment.pdf
37543,"PSTs conceive of all digits in a multidigit number in terms of only ones, treating the digits as concatenated strings rather than distinct place value reference units.","Claire explained regrouping in 527 - 135 by stating 'You change the 5 to the number below it, which is 4. And you mark a 1, which makes this 12', failing to relate the digits to hundreds or tens.",whole_number,multidigit whole numbers,place value,PST,elementary,JRME_Thanheiser_2009_Preservice,Eva Thanheiser,2009,Journal for Research in Mathematics Education,uncoded,primary,"269, 270",pdfs/JRME/JRME_Thanheiser_2009_Preservice.pdf
37577,"Students overgeneralize divisibility rules, such as claiming a number is prime if the sum of its digits is a prime number.","A student argued that 23707 is prime because the sum of its digits is 19, which is a prime number.",whole_number,prime numbers,divisibility rules,PST,elementary (K-7) level,JRME_Zazkis_2004_Understanding,Rina Zazkis and Peter Liljedahl,2004,Journal for Research in Mathematics Education,productive,secondary,"175, 176",pdfs/JRME/JRME_Zazkis_2004_Understanding.pdf
37625,"The student struggles to shift smoothly between quotitive and partitive division when finding an equivalent ratio unit, attempting to use quotitive division for both quantities rather than coordinating the number of groups.","After successfully grouping 12 quarters into 4 groups of 3 (quotitive division), the student attempts to put 28 candies into groups of 3 (quotitive) rather than putting them into 4 groups (partitive).",whole_number,division,partitive and quotitive division,student,fifth-grade,JRME_Lo_1997_Developing,Jane-Jane Lo and Tad Watanabe,1997,Journal for Research in Mathematics Education,uncoded,secondary,228,pdfs/JRME/JRME_Lo_1997_Developing.pdf
37654,"Students apply school-taught rounding rules inflexibly and algorithmically, rejecting valid approximations that deviate from standard rounding rules.","Some students objected to rounding 267 to 250 rather than 300, arguing: 'You're always taught to go up if it's past five.'",whole_number,rounding,algorithmic rules,student,"Grades 3, 5, 7, and 9",JRME_Sowder_1989_Development,Judith T. Sowder and Margariete M. Wheeler,1989,Journal for Research in Mathematics Education,uncoded,primary,"144, 145",pdfs/JRME/JRME_Sowder_1989_Development.pdf
37688,"When confronted with multiplicative word problems, students may fail to impose an appropriate equal-sized-group mathematical structure, instead simply adding the given numbers together or counting irrelevant features.","In response to Problem 1 (2 tables, 4 children at each), Michelle put out three blue and five red cubes in two groups of four, said there were three boys and five girls, and calculated '3 + 5 = 8.'",whole_number,multiplication,word problems,student,Grades 2 and 3,JRME_Mulligan_1997_Young,Joanne T. Mulligan and Michael C. Mitchelmore,1997,Journal for Research in Mathematics Education,uncoded,secondary,"315, 316, 317",pdfs/JRME/JRME_Mulligan_1997_Young.pdf
37718,Students exhibit negative transfer by combining numbers based on familiar patterns with little regard to the specific context of the problem.,A child forms a habit of subtracting when two quantities of money are presented and incorrectly applies this to a different problem structure.,whole_number,word problems,operations,student,sixth-grade,JRME_Marshall_1983_Sex,Sandra P. Marshall,1983,Journal for Research in Mathematics Education,uncoded,primary,"332, 333",pdfs/JRME/JRME_Marshall_1983_Sex.pdf
37763,"Less successful students fixate on procedural counting-back as the natural reverse of addition, creating an enormous cognitive burden and frequent errors when the subtrahend is large, rather than flexibly using a count-up strategy.","To calculate 19 - 17, a below-average student is likely to laboriously count back 17 from 19, a procedure that usually ends in failure.",whole_number,subtraction,counting strategies,student,aged 7 to 12,JRME_Gray_1994_Duality,Eddie M. Gray and David O. Tall,1994,Journal for Research in Mathematics Education,uncoded,primary,"125, 129, 130",pdfs/JRME/JRME_Gray_1994_Duality.pdf
37794,"Students treat derived fact strategies as rote procedural rules, indiscriminately applying verbal rules without attending to the relative size of the addends.","For combinations like 7 + 6, where the first addend is larger, students used the rote rule 'Double the first addend and add 1'.",whole_number,addition,derived facts strategies,student,second-grade,JRME_Steinberg_1985_Instruction,Ruth M. Steinberg,1985,Journal for Research in Mathematics Education,uncoded,secondary,"348, 349",pdfs/JRME/JRME_Steinberg_1985_Instruction.pdf
37813,"Students successfully execute the division computation for a story problem but fail to engage in sense-making, leaving the raw computational result as their final answer without interpreting the remainder in the context of the real-world situation.","Some students simply provided division computational work and gave the computational result of 31 1/3 as the answer, without any interpretation.",whole_number,division,interpreting remainders,student,fifth and sixth graders,JRME_Cai_1995_Solution,Jinfa Cai and Edward A. Silver,1995,Journal for Research in Mathematics Education,uncoded,primary,"494, 495",pdfs/JRME/JRME_Cai_1995_Solution.pdf
37820,"Students incorrectly assume that prime factorization is distributive over addition, believing that the prime factorization of a sum equals the sum of the prime factorizations of its parts.","A student suggests that the prime factorization of 391 could be found by finding the prime factorizations of 300, 80, and 11 independently.",whole_number,prime factorization,distributivity,PST,preservice elementary school teachers,JRME_Zazkis_1996_Divisibility,Rina Zazkis and Stephen Campbell,1996,Journal for Research in Mathematics Education,uncoded,secondary,"559, 560",pdfs/JRME/JRME_Zazkis_1996_Divisibility.pdf
37854,"Students ignore the base of comparison in comparative phrases, treating the given difference as an absolute value for the new quantity.","When given 'Sunshine Primary School has 89 more pupils', students treated 89 as the actual enrollment for Sunshine Primary because they ignored Dunearn Primary as the base for comparison.",whole_number,comparative phrases,more than/less than,mixed,Primary 5,JRME_Ng_2009_Model,Swee Fong Ng and Kerry Lee,2009,Journal for Research in Mathematics Education,uncoded,primary,309,pdfs/JRME/JRME_Ng_2009_Model.pdf
37876,Students commit a reversal error on inconsistent language compare word problems by directly translating the relational term into an arithmetic operation rather than using the required opposite operation.,"When given a problem stating a quantity is '2 times as many' as the unknown quantity, a student incorrectly multiplies 120 by 2 instead of dividing.",whole_number,compare word problems,inconsistent language,student,sixth- and seventh-grade,JRME_Pape_2004_Middle,Stephen J. Pape,2004,Journal for Research in Mathematics Education,uncoded,primary,"189, 190, 192, 196, 218",pdfs/JRME/JRME_Pape_2004_Middle.pdf
37898,"A student incorrectly multiplies multi-digit numbers by failing to shift the partial products to the left, and many teachers lack the place value understanding needed to explain the error conceptually.",The student correctly forms the partial products of 123 with the digits of 645 but aligns them directly underneath each other without shifting. Only about 40% of U.S. teachers could explain the reason for the correct alignment based on place value.,whole_number,multiplication,multi-digit algorithm and place value,in_service,elementary,JRME_Howe_1999_Knowing,Roger Howe,1999,Journal for Research in Mathematics Education,deficit,primary,,pdfs/JRME/JRME_Howe_1999_Knowing.pdf
37905,Students miscopy written numbers due to incorrect internal subvocalization of the symbols rather than due to visual perception errors or visual reversals.,"The student copied the number 368 but wrote a 9 instead of a 6 because she had incorrectly verbalized the digit to herself, even though she could visually distinguish a 6 from a 9 when explicitly asked.",whole_number,symbolic representation,copying numbers,student,fifth grade,JRME_Montis_2000_Language,Kristine K. Montis,2000,Journal for Research in Mathematics Education,deficit,secondary,"547, 548",pdfs/JRME/JRME_Montis_2000_Language.pdf
37952,"Students fail to recognize the conceptual equivalence between the terms 'how many more', 'how many less', and 'the difference' when comparing two quantities.","Students could not solve a post-test problem asking for 'the difference' between 2 and 5 pieces of chocolate, stating they did not understand what the difference means, even though they were capable of solving it if asked 'how many more'.",whole_number,word problems,Additive comparison,mixed,first grade,ZDM_Huang_2018_Developing,"Rongjin Huang, Qinqiong Zhang, Yu-ping Chang, Dovie Kimmins",2018,ZDM,deficit,primary,,pdfs/ZDM/ZDM_Huang_2018_Developing.pdf
38049,"Students regress to an elementary counting-all action when visually decomposing tens into ones for subtraction with regrouping, which prevents them from transitioning to higher-level numerical processing.","When solving 41 - 16, a student decomposes a tens stick into 10 circles, but then counts all 11 circles starting from 1 to obtain the total instead of using a counting-on strategy.",whole_number,subtraction with regrouping,Place value splitting,student,second- and third-grade,ZDM_Rivera_2014_From,F. D. Rivera,2014,ZDM Mathematics Education,deficit,secondary,"65, 66",pdfs/ZDM/ZDM_Rivera_2014_From.pdf
38070,"Teachers dismiss valid, non-standard student-generated subtraction algorithms because they find them confusing or not aligned with official textbook formulas.","When asked to evaluate alternative subtraction methods, a teacher says 'this is too confusing for children' and relies on 'the same formula' from the textbook instead of recognizing the mathematical validity of the strategies.",whole_number,subtraction,Alternative algorithms,in_service,primary school,ZDM_Cole_2012_Assessing,Yaa Cole,2012,ZDM Mathematics Education,deficit,secondary,"422, 423",pdfs/ZDM/ZDM_Cole_2012_Assessing.pdf
38105,"A student interprets a division problem using an idiosyncratic rational nexus, incorrectly calculating 8 / 4 = 12 based on the number of times 4 fits into components of 60.","Calculating 60 / 4 by first stating '8 by 4 that was 12', reasoning that 4 is 2 times in 8, and 8 is in 60 six times, yielding 12.",whole_number,division,,mixed,Grade 1 and Grade 3,ZDM_Steinbring_2015_Mathematical,Heinz Steinbring,2015,ZDM Mathematics Education,productive,primary,285,pdfs/ZDM/ZDM_Steinbring_2015_Mathematical.pdf
38120,"Students may confuse the representation of tens and ones when using base-ten manipulatives, such as mistaking a ten-stick for a single unit.","When representing the '3' in '13', the teacher intentionally holds up three ten-sticks, which prompts the class to realize they actually need 'three ones' because ten small ones make one ten.",whole_number,place value,Base-ten representations,in_service,primary,ZDM_Askew_2018_Mediating,Mike Askew,2018,ZDM,productive,secondary,,pdfs/ZDM/ZDM_Askew_2018_Mediating.pdf
