id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37439,Students lacked the operations necessary to establish a commensurate unit fraction for a composite fraction.,"When asked for another name for a six-twenty-fourths stick, Jason called it 'four-twenty-fourths' (referencing four 6-piece sticks) and Laura called it 'one-twenty-fourth'.",fraction,equivalence,composite unit fractions,student,"third, fourth, and fifth grades",JMB_Steffe_2002_New,Leslie P. Steffe,2002,Journal of Mathematical Behavior,productive,primary,294-295,pdfs/JMB/JMB_Steffe_2002_New.pdf
37446,The student made the reciprocal of an intended improper fraction to avoid the problem of not having enough material to extend beyond the given whole.,"When asked to make seven-fifths of a collection of five different candy bars, Carlos partitioned each bar into seven parts and formed five-sevenths.",fraction,representation,improper fractions,student,sixth-grade,JMB_Hackenberg_2007_Units,Amy J. Hackenberg,2007,Journal of Mathematical Behavior,productive,primary,40-42,pdfs/JMB/JMB_Hackenberg_2007_Units.pdf
37456,"The student lacks an immediate way of operating to divide a composite unit into a number of parts that does not divide evenly, causing a cognitive perturbation.","When asked to make a new collection where 7 candy bars represents 3/5, Michael notes 'Two wouldn't work, cause it's odd' and is initially unsure how to divide 7 bars into 3 parts.",fraction,reversible multiplicative relationships,units coordination,student,6th-grade,JRME_Hackenberg_2010_Mathematical,Amy J. Hackenberg,2010,Journal for Research in Mathematics Education,productive,primary,"248, 249, 250",pdfs/JRME/JRME_Hackenberg_2010_Mathematical.pdf
37477,"Students fail to conceptualize a composite unit as a single entity, requiring perceptual support by drawing and counting individual constituent items to assure equal sharing.","A student drew all individual sticks of gum inside packages because she felt she had to 'count what's inside' to ensure equal shares, rather than treating the pack as a composite unit of five.",fraction,unitizing,composite units,student,grades four through eight,JRME_Lamon_1996_Development,Susan J. Lamon,1996,Journal for Research in Mathematics Education,uncoded,primary,184,pdfs/JRME/JRME_Lamon_1996_Development.pdf
37506,"When attempting to generate a real-world story problem for division by one-half, prospective teachers incorrectly construct stories that represent division by two.","If we had one and three-quarters pizzas left and there were two of us dying to split it, then how would we be able to split that?",fraction,division,division by fractions,PST,prospective elementary and secondary teachers,JRME_Ball_1990_Prospective,Deborah Loewenberg Ball,1990,Journal for Research in Mathematics Education,uncoded,primary,135,pdfs/JRME/JRME_Ball_1990_Prospective.pdf
37515,"Students inappropriately treat computational estimation tasks as exact mental computation tasks, relying on standard paper-and-pencil algorithms rather than employing flexible estimation strategies like rounding or using compatible numbers.","When asked to estimate 12/13 + 7/8, a student attempted to mentally calculate an exact common denominator (114), multiply cross terms, and output an exact mixed number (1 24/114) instead of recognizing each fraction was near 1.",fraction,computational estimation,addition,student,fifth- and eighth-grade,JRME_Reys_1991_Computational,"Robert E. Reys, Barbara J. Reys, Nobuhiko Nohda, Junichi Ishida, Shigeo Yoshikawa and Katsuhiko Shimizu",1991,Journal for Research in Mathematics Education,uncoded,primary,"51, 52",pdfs/JRME/JRME_Reys_1991_Computational.pdf
37523,"Children indiscriminately apply a systematic strategy of repeated halving to partition shapes, ignoring equality, even when tasked with creating an odd number of parts.","To obtain thirds, a child performs repeated dichotomies by mixing halving lines, or draws parallel vertical lines in a circular region to produce unequal fifths, declaring them to be fair shares.",fraction,partitioning,algorithmic halving,student,kindergarten and the first three grades,JRME_Pothier_1983_Partitioning,Yvonne Pothier and Daiyo Sawada,1983,Journal for Research in Mathematics Education,uncoded,primary,"311, 312",pdfs/JRME/JRME_Pothier_1983_Partitioning.pdf
37569,Students are unable to mentally remove partition marks to recognize lower-term equivalent fractions on a number line.,"When given a number line showing an unreduced fraction, students could not choose the correct reduced fraction name, hesitating to 'take out points' or ignore extra partition lines.",fraction,number line representation,unpartitioning,student,fourth and fifth graders,JRME_Bright_1988_Identifying,"George W. Bright, Merlyn J. Behr, Thomas R. Post and Ipke Wachsmuth",1988,Journal for Research in Mathematics Education,uncoded,primary,"217, 225, 227, 228, 229",pdfs/JRME/JRME_Bright_1988_Identifying.pdf
37583,"When drawing or interpreting fractions, the student understands the shaded region to be the 'amount taken,' causing them to incorrectly attend to the fractional complement--the amount 'left'.","For the fraction 7/12, the student drew a shape, partitioned it into 12 pieces, shaded 7, and stated 'seven pieces are gone,' incorrectly determining that 7/12 was smaller than 1/2 because they focused on the 5 pieces left.",fraction,fractional representations,area models and shading conventions,student,adult,JRME_Lewis_2014_Difference,Katherine E. Lewis,2014,Journal for Research in Mathematics Education,uncoded,primary,"365, 368, 369, 370",pdfs/JRME/JRME_Lewis_2014_Difference.pdf
37605,"Students hesitate to apply known operations or functional relationships, such as division to find a missing side or squaring a scale factor to find area change, when the values involved are fractions rather than whole numbers.","Students struggled to determine the change in area for a scale factor of 2.5, failing to recognize they could square it just as they had done with whole number scale factors.",fraction,operations and scale factors,extending whole-number concepts,student,6th- and 7th-grade,JRME_Johanning_2008_Learning,Debra I. Johanning,2008,Journal for Research in Mathematics Education,productive,primary,"294, 295",pdfs/JRME/JRME_Johanning_2008_Learning.pdf
37662,"Students who lack a fully developed part-whole scheme may fail to disembed a fractional part from the whole, merely pointing to a discrete location on a partitioned shape rather than representing the quantitative size of the fractional part.","When asked to make 5/8 of a bar partitioned into eight pieces, a student drew an arrow pointing to the fifth segment and wrote 'Answer: The place where I drew an arrow.'",fraction,fractional parts,disembedding,student,5th- and 6th-grade,JRME_Norton_2018_Brief,"Anderson Norton, Jesse L. M. Wilkins, and Cong ze Xu",2018,Journal for Research in Mathematics Education,uncoded,secondary,"211, 213",pdfs/JRME/JRME_Norton_2018_Brief.pdf
37675,"Students believe that only 'units of measure one' can be partitioned, viewing composite units (like 2/3 of a cookie) merely as the result of a prior partitioning rather than as a unit that can be partitioned itself.","When asked to partition two thirds of a cookie into fourths, a student shaded two parts of a three-part circle and said, 'I have two (pieces) but I need four (pieces)... It's already cut up. It's not just one piece. I don't think I can do this.'",fraction,partitioning,composite units,student,fifth-grade,JRME_Mack_2001_Building,Nancy K. Mack,2001,Journal for Research in Mathematics Education,uncoded,primary,"276, 277, 285",pdfs/JRME/JRME_Mack_2001_Building.pdf
37682,The student misidentifies a fractional representation by counting irrelevant features like internal lines rather than examining the size and number of the equal regions.,"Pho incorrectly stated a circle partitioned into thirds but with extra internal lines stood for a fourth 'because there's four lines here, four lines here, and four lines here.'",fraction,fraction representations,area models,student,first-grade,JRME_Empson_2003_Low-performing,Susan B. Empson,2003,Journal for Research in Mathematics Education,productive,secondary,327,pdfs/JRME/JRME_Empson_2003_Low-performing.pdf
37752,"In attempting to provide a concrete conceptual example for division of fractions, the prospective teacher inadvertently generates a scenario that models multiplication of fractions.",What portion of a wall would you be able to paint if 1/4 of the wall were painted and you had enough paint to cover 1/2 of the remaining area?,fraction,division,concrete models,PST,grades K-8,JRME_Eisenhart_1993_Conceptual,"Margaret Eisenhart, Hilda Borko, Robert Underhill, Catherine Brown, Doug Jones and Patricia Agard",1993,Journal for Research in Mathematics Education,uncoded,primary,23,pdfs/JRME/JRME_Eisenhart_1993_Conceptual.pdf
37771,The student invents procedural schemes that confuse the unique roles of the numerator and denominator.,"To produce 16/5, the student partitioned the whole bar into 16 parts and pulled 5 parts.",fraction,improper fractions,numerator and denominator roles,student,Grade 6,JRME_Norton_2008_Zpc,Anderson Norton and Beatriz S. D'Ambrosio,2008,Journal for Research in Mathematics Education,productive,primary,"235, 236",pdfs/JRME/JRME_Norton_2008_Zpc.pdf
37792,"A preservice teacher incorrectly assumes that multiplying fractions always produces a larger answer and dividing fractions always produces a smaller answer, indicating a lack of understanding of fractions as quantities.",Data collected during the mathematics methods course indicated that she viewed the multiplication of fractions as producing larger answers and division of fractions as producing smaller answers.,fraction,multiplication and division,relative effects of operations,PST,elementary,JRME_Vacc_1999_Elementary,Nancy Nesbitt Vacc and George W. Bright,1999,Journal for Research in Mathematics Education,deficit,passing,106,pdfs/JRME/JRME_Vacc_1999_Elementary.pdf
37810,"A student expects an unevenly partitioned piece to measure as a unit fraction based solely on the number of visible parts, ignoring the inequality of the parts' sizes.","Josh thinks a piece that is one fourth of the whole but one of three visible unequal pieces might measure as one third 'if it was even', and is surprised when the computer measures it as 1/4.",fraction,fractional parts,equal partitioning,student,sixth-grade,JRME_Norton_2008_Josh's,Anderson Norton,2008,Journal for Research in Mathematics Education,productive,primary,"412, 413",pdfs/JRME/JRME_Norton_2008_Josh's.pdf
37829,Students who have recently learned to compare unit fractions via a hands-on partitioning activity may revert to whole-number reasoning when presented with the same task outside the activity context.,"The teacher writes two fractions on the board, '1/7' and '1/5,' and asks which one is larger. To the teacher's surprise, most of the students claim that 1/7 is larger because 7 is larger than 5.",fraction,fraction comparison,unit fractions,student,fourth- and fifth-grade,JRME_Simon_2016_Participatory,"Martin A. Simon, Nicora Placa, and Arnon Avitzur",2016,Journal for Research in Mathematics Education,uncoded,secondary,64,pdfs/JRME/JRME_Simon_2016_Participatory.pdf
37852,Students represent a fractional relationship additively instead of multiplicatively due to a lack of conceptual knowledge of fractions.,"For the Water Problem, students represented the volume of C (1/4 of B) by additively attaching a 1/4 rectangle to three rectangles representing B, misinterpreting it as 1/4 more than B.",fraction,fractional relationships,multiplicative reasoning,mixed,Primary 5,JRME_Ng_2009_Model,Swee Fong Ng and Kerry Lee,2009,Journal for Research in Mathematics Education,uncoded,primary,308,pdfs/JRME/JRME_Ng_2009_Model.pdf
37871,"Students misapply and jumble portions of previously learned procedural rules when adding fractions, such as attempting to cross-cancel across addition signs.","To add 2/3 + 1/4, a student divided the 2 and 4, added the 3 and 2 to get 5, and left the 1s alone, resulting in an answer of 1/5.",fraction,fraction addition,procedural rules,student,sixth grade,JRME_Peck_1981_Conceptual,Donald M. Peck and Stanley M. Jencks,1981,Journal for Research in Mathematics Education,uncoded,primary,"342, 343",pdfs/JRME/JRME_Peck_1981_Conceptual.pdf
37904,"Students with phonological-processing deficits fail to use spoken language as a transitive bridge to connect different mathematical representations, treating each physical model, spoken word, and written symbol as an isolated concept.","The student could not spontaneously connect an index-card model of 'five halves' with the written symbol 5/2, and she misnamed 8/8 as 'eight over eight' rather than 'eight eighths', failing to perceive the fractional relationship between the numerator and denominator.",fraction,multiple representations,concept flexibility,student,fifth grade,JRME_Montis_2000_Language,Kristine K. Montis,2000,Journal for Research in Mathematics Education,deficit,primary,"549, 550, 551, 552",pdfs/JRME/JRME_Montis_2000_Language.pdf
